Ciudad,Año,Índice de Costo de Vida_x,Índice de Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Esperanza vida
Helsinki,2021,81.43,39.0,70.02,90.16,177.14,82.88,74.73,77.49,12.78,30.97,13.34,81.9
Helsinki,2022,77.17,38.32,69.7,83.74,178.04,83.51,74.51,77.74,13.14,29.23,13.76,81.2
Helsinki,2023,68.87,31.12,58.97,74.19,191.06,103.4,75.19,78.85,10.39,28.26,13.44,82.48
París,2014,120.68,66.9,122.73,107.5,94.51,88.48,47.39,83.33,15.87,35.67,62.47,82.9
París,2015,99.61,55.45,98.53,97.72,88.14,89.21,45.1,80.74,17.23,39.45,66.15,82.4
París,2016,81.61,45.98,77.34,80.31,141.15,112.52,45.93,74.8,17.99,37.0,64.75,82.7
París,2017,83.2,42.64,79.61,80.89,127.47,95.4,47.25,72.71,16.82,41.62,68.46,82.7
París,2018,92.87,50.3,87.29,91.77,128.54,97.62,47.05,73.09,17.68,42.91,66.5,82.8
París,2019,84.27,46.01,76.66,86.45,125.09,89.27,47.98,74.82,19.12,42.64,67.71,83.0
París,2020,85.16,46.98,78.98,81.35,116.89,71.17,48.24,77.14,22.02,42.58,66.29,82.3
París,2021,94.23,51.78,91.62,87.63,118.6,69.34,46.81,79.49,20.97,40.76,64.54,82.4
París,2022,84.35,48.79,83.65,81.64,124.21,80.2,45.04,79.64,19.15,42.52,64.31,82.3
París,2023,76.06,43.71,74.23,69.81,122.65,77.86,43.08,79.11,20.19,41.5,63.89,83.13
Berlín,2014,84.51,30.17,77.7,69.79,173.06,99.44,72.25,73.08,6.22,49.46,28.04,81.2
Berlín,2015,74.72,29.22,67.34,64.12,170.63,97.08,67.45,75.0,7.49,42.0,28.61,80.7
Berlín,2016,66.34,25.97,56.71,55.46,177.4,122.7,61.46,76.03,8.59,33.5,38.05,81.0
Berlín,2017,64.18,26.41,50.66,54.8,174.73,116.11,63.28,78.7,8.84,32.42,42.15,81.1
Berlín,2018,74.32,33.54,60.74,65.57,172.32,114.09,59.03,75.3,9.6,32.31,41.32,81.0
Berlín,2019,68.62,31.85,55.43,59.12,166.8,104.74,60.19,70.27,10.53,33.21,40.63,81.3
Berlín,2020,64.76,32.83,50.08,55.05,162.9,98.66,58.99,69.29,10.84,33.93,40.91,81.1
Berlín,2021,72.52,34.86,59.73,62.52,160.11,88.21,58.86,69.85,9.97,33.66,39.41,80.8
Berlín,2022,68.94,38.59,56.41,61.05,167.49,105.86,57.95,69.18,9.42,34.03,38.93,80.7
Berlín,2023,69.66,38.3,56.56,60.32,161.04,98.05,56.75,68.05,11.39,34.4,39.0,81.88
Atenas,2014,86.75,17.74,71.09,92.08,43.14,41.8,47.65,48.94,12.94,41.64,59.82,81.5
Atenas,2015,70.48,13.91,59.14,75.42,57.36,45.54,49.46,49.08,11.31,39.91,58.14,81.1
Atenas,2016,56.0,11.24,45.72,58.11,138.01,64.66,51.33,52.7,9.69,35.46,62.74,81.5
Atenas,2017,58.6,11.89,46.86,60.73,125.52,51.3,49.28,49.76,10.31,36.59,67.46,81.4
Atenas,2018,64.67,13.97,51.34,64.82,120.62,52.86,50.44,51.09,10.74,37.76,62.74,81.9
Atenas,2019,58.31,12.55,45.19,59.98,126.58,50.25,51.89,54.39,10.3,35.95,58.25,81.7
Atenas,2020,57.21,14.86,43.71,57.69,122.98,45.51,51.37,55.63,11.59,37.9,57.95,81.4
Atenas,2021,60.99,16.32,48.19,58.99,120.14,41.36,47.7,56.41,11.15,38.21,57.28,80.2
Atenas,2022,58.97,17.92,46.99,60.78,117.55,40.03,44.11,56.66,11.78,38.08,57.29,80.7
Atenas,2023,59.83,16.34,46.35,55.14,116.69,42.36,44.12,56.88,13.51,38.22,57.28,82.8
Budapest,2014,61.31,11.81,49.26,47.28,74.71,46.64,61.58,48.67,9.67,41.54,55.1,76.0
Budapest,2015,51.15,10.4,41.15,40.18,86.18,47.99,58.44,54.56,8.94,35.47,52.08,75.7
Budapest,2016,42.55,12.28,33.75,32.75,136.9,60.56,58.88,51.85,10.1,34.44,52.69,76.2
Budapest,2017,43.9,14.97,34.41,33.08,132.89,52.33,61.36,53.05,11.59,35.84,52.35,76.0
Budapest,2018,51.0,18.08,40.71,40.43,125.49,55.54,63.04,49.79,14.1,36.98,54.57,76.2
Budapest,2019,45.56,16.89,35.86,37.8,126.07,57.54,63.49,46.68,14.83,37.9,52.74,76.5
Budapest,2020,43.4,17.61,32.99,36.84,121.8,52.11,63.66,46.9,15.95,38.74,54.18,75.7
Budapest,2021,45.39,16.98,37.15,37.21,123.21,50.79,63.95,49.1,14.69,39.1,54.12,74.3
Budapest,2022,46.13,16.01,39.18,41.98,125.15,52.66,64.6,51.18,14.63,38.97,54.14,76.2
Budapest,2023,45.34,14.53,40.47,36.95,127.11,55.16,65.22,52.61,14.83,39.04,53.8,77.31
Dublín,2014,111.45,48.36,105.84,109.57,123.66,88.34,39.75,38.25,6.57,24.12,31.14,81.4
Dublín,2015,95.56,45.81,86.03,102.08,128.71,88.89,45.44,44.3,6.85,35.79,30.69,81.5
Dublín,2016,80.34,46.9,66.64,84.57,160.23,120.17,45.59,48.18,9.86,35.73,32.7,81.7
Dublín,2017,79.72,49.78,63.07,84.14,154.93,99.0,47.19,51.07,8.01,36.87,32.99,82.2
Dublín,2018,89.92,62.13,73.62,95.64,147.02,88.11,49.36,51.23,9.88,39.69,35.22,82.2
Dublín,2019,77.39,58.68,59.96,85.57,146.98,90.73,49.55,49.67,10.57,38.06,37.87,82.8
Dublín,2020,79.17,61.77,60.46,82.54,140.68,76.58,50.8,51.11,9.47,40.26,40.36,82.6
Dublín,2021,86.01,66.33,71.21,84.51,137.25,67.67,50.46,52.06,9.25,40.12,39.88,82.4
Dublín,2022,79.05,62.39,63.64,83.31,142.63,81.82,48.3,51.61,8.11,40.41,40.95,82.6
Dublín,2023,77.06,60.66,59.09,83.92,138.92,77.56,47.86,51.19,9.92,40.37,41.01,82.81
Roma,2014,95.51,55.52,85.02,105.1,25.05,58.99,40.63,62.46,24.11,44.62,71.01,83.2
Roma,2015,83.75,48.4,73.5,98.84,27.65,58.09,44.02,57.34,24.2,45.1,69.44,82.7
Roma,2016,70.02,38.93,60.87,75.03,119.69,89.49,44.13,55.25,20.21,46.43,72.77,83.4
Roma,2017,74.06,37.18,64.5,74.29,113.99,72.41,44.53,58.35,23.04,46.7,66.63,83.1
Roma,2018,78.8,40.24,68.34,85.32,109.84,72.78,45.66,59.5,20.48,46.88,67.5,83.4
Roma,2019,69.84,36.16,58.62,78.12,110.01,64.52,46.99,59.63,19.8,46.29,66.67,83.6
Roma,2020,70.38,34.7,57.03,74.45,113.78,58.91,48.12,59.2,15.95,42.95,66.44,82.3
Roma,2021,78.79,37.28,67.41,78.05,107.81,49.38,47.87,59.25,17.53,41.98,66.63,82.7
Roma,2022,71.0,37.19,62.72,70.26,110.32,51.33,46.85,60.46,17.09,41.36,66.27,83.0
Roma,2023,66.12,32.26,57.29,68.23,112.91,55.4,47.01,59.98,16.22,41.84,66.33,84.0
Riga,2015,57.74,13.74,45.76,48.25,90.86,43.09,61.49,67.13,13.43,24.0,46.49,74.8
Riga,2017,49.2,12.87,36.58,45.58,139.49,52.01,62.68,58.1,10.47,28.95,33.94,74.9
Riga,2018,54.87,15.23,42.56,51.15,140.25,53.77,62.04,55.3,10.86,35.22,37.95,75.1
Riga,2019,50.37,13.24,37.07,48.94,143.82,55.47,62.62,58.3,9.84,32.69,40.01,75.7
Riga,2020,49.29,13.66,35.05,47.01,145.14,53.64,61.73,61.17,9.25,33.87,38.15,75.5
Riga,2021,55.43,15.88,42.08,52.29,142.27,46.71,62.07,60.73,9.59,31.88,38.34,73.1
Riga,2022,51.54,14.75,38.97,50.95,146.62,52.82,62.22,61.22,8.79,32.15,37.49,74.8
Riga,2023,54.85,13.14,42.54,50.33,146.49,54.29,61.54,60.97,8.93,31.33,37.8,75.73
Vilna,2014,61.2,16.21,53.7,42.25,130.05,43.84,70.83,72.99,13.61,25.71,16.08,74.7
Vilna,2015,53.85,15.7,45.09,39.4,120.33,46.95,70.82,70.19,13.41,31.33,26.57,74.6
Vilna,2016,46.75,14.91,38.21,37.91,141.38,62.2,62.03,69.22,13.16,29.89,25.44,74.9
Vilna,2017,47.24,14.86,36.32,40.39,136.71,54.06,67.56,69.6,15.33,29.76,25.8,75.8
Vilna,2018,54.26,17.9,42.58,49.97,153.47,56.97,69.1,68.27,14.5,28.63,28.34,76.0
Vilna,2019,48.26,16.23,36.6,49.99,158.85,60.43,70.82,66.75,13.24,28.37,26.05,76.5
Vilna,2020,44.46,16.22,33.6,45.4,165.02,62.96,72.35,69.44,12.1,27.81,23.79,75.1
Vilna,2021,48.79,17.71,37.34,50.79,165.21,58.9,72.41,71.51,11.05,27.52,23.5,74.2
Vilna,2022,46.94,19.22,36.84,48.79,165.8,62.14,72.67,72.86,12.2,27.93,23.82,76.0
Vilna,2023,51.65,20.84,41.53,52.01,164.32,59.48,72.37,73.97,13.39,27.33,22.84,76.41
Luxemburgo,2017,79.84,51.18,64.79,94.19,187.65,117.13,75.55,74.54,11.89,33.5,20.39,82.1
Luxemburgo,2018,95.37,61.59,82.71,109.61,195.15,127.42,71.36,79.04,10.31,34.88,20.11,82.3
Luxemburgo,2019,89.64,56.68,80.41,96.29,193.24,112.79,74.51,78.1,10.69,33.65,17.15,82.7
Luxemburgo,2020,83.71,55.85,69.53,92.44,184.36,106.31,70.88,73.73,11.34,33.66,21.15,82.2
Luxemburgo,2021,89.65,63.28,81.99,94.96,182.68,100.48,72.45,74.51,11.66,33.24,20.75,82.7
Luxemburgo,2022,82.99,63.43,75.83,95.17,178.53,100.19,70.28,72.79,13.52,34.1,21.72,83.0
Luxemburgo,2023,74.61,51.24,66.35,84.7,193.29,118.25,71.32,77.04,12.61,30.0,19.43,82.78
Ámsterdam,2015,88.19,44.17,69.1,103.24,164.92,99.63,66.86,64.63,8.41,27.0,34.21,81.6
Ámsterdam,2016,76.29,46.95,59.18,84.79,181.46,122.04,63.92,67.43,8.82,29.53,38.91,81.7
Ámsterdam,2017,78.01,46.04,62.29,83.98,176.19,90.41,67.4,72.78,10.36,27.86,32.08,81.8
Ámsterdam,2018,89.14,58.22,70.13,95.2,179.2,101.7,66.33,72.41,9.89,27.58,30.1,81.9
Ámsterdam,2019,80.88,53.09,63.56,87.15,173.29,96.16,65.52,70.74,11.31,30.93,30.77,82.2
Ámsterdam,2020,78.93,54.27,59.03,81.9,167.69,84.42,66.9,68.9,12.06,30.07,31.88,81.4
Ámsterdam,2021,86.8,59.25,65.84,93.99,166.66,79.07,66.32,69.6,11.03,29.62,30.9,81.4
Ámsterdam,2022,80.82,55.8,64.45,85.59,174.25,94.45,66.37,68.97,10.06,29.72,30.68,81.7
Ámsterdam,2023,71.38,48.7,56.05,76.15,183.04,101.73,68.01,72.28,10.32,26.58,28.46,82.78
Varsovia,2014,58.61,24.19,49.64,51.31,94.04,63.5,65.56,55.16,12.47,37.5,55.79,77.8
Varsovia,2015,48.04,19.44,39.56,42.71,111.19,71.15,69.25,58.25,11.49,36.61,55.14,77.5
Varsovia,2016,40.75,18.36,32.51,33.95,153.06,85.41,73.67,61.57,12.37,36.6,53.16,78.0
Varsovia,2017,40.79,18.62,31.51,35.14,151.61,74.32,73.85,60.84,11.81,38.59,46.94,77.8
Varsovia,2018,48.31,22.5,38.53,42.2,143.52,77.31,66.55,61.35,11.38,38.37,51.92,77.7
Varsovia,2019,42.64,20.59,32.68,39.93,144.58,73.97,73.41,62.64,12.14,36.31,55.62,78.0
Varsovia,2020,44.09,21.74,34.51,38.9,136.91,63.0,74.51,61.2,13.73,35.2,58.74,76.5
Varsovia,2021,46.7,25.67,37.24,42.2,129.74,52.04,73.56,60.65,15.1,35.08,59.52,75.5
Varsovia,2022,43.94,20.55,33.93,42.14,135.18,66.04,73.84,59.39,14.76,35.2,60.04,77.4
Varsovia,2023,44.0,24.13,35.06,41.63,134.62,62.58,73.94,59.79,14.44,35.22,59.57,79.27
Lisboa,2014,71.23,27.34,59.99,59.07,107.61,54.64,61.33,64.19,10.25,41.54,34.61,81.3
Lisboa,2015,59.53,22.38,49.11,53.95,116.23,57.74,65.27,64.08,10.37,39.41,35.16,81.3
Lisboa,2016,50.87,19.86,42.73,43.12,175.44,76.2,65.18,68.56,12.09,35.85,34.41,81.3
Lisboa,2017,50.47,22.51,40.17,44.23,167.53,61.33,66.94,68.03,14.74,34.27,34.26,81.6
Lisboa,2018,57.69,29.33,47.02,50.14,155.28,58.48,66.47,68.82,13.94,35.68,36.29,81.5
Lisboa,2019,53.67,31.01,43.17,47.68,149.54,51.16,69.22,70.76,18.0,35.45,38.41,81.9
Lisboa,2020,51.87,31.92,39.26,46.72,150.28,46.27,72.38,71.4,18.36,36.37,36.17,81.1
Lisboa,2021,54.96,31.9,42.15,47.33,152.39,46.93,71.76,71.56,16.67,35.79,35.54,81.5
Lisboa,2022,51.7,31.39,40.29,50.65,151.93,48.26,71.12,72.38,17.75,35.93,35.8,81.7
Lisboa,2023,51.48,32.68,40.84,51.15,148.61,45.39,70.39,72.41,19.6,35.5,36.11,82.65
Bucarest,2014,52.12,15.66,45.6,43.01,28.24,37.19,68.11,50.27,14.01,38.12,92.66,75.0
Bucarest,2015,44.79,12.73,39.11,38.91,52.92,39.04,68.73,51.43,12.82,35.45,76.06,74.9
Bucarest,2016,37.42,11.17,30.17,34.02,123.66,59.96,69.74,52.49,11.51,38.9,72.39,75.2
